Date,Day_of_Week,Month,Quarter,Symbol,Company_Name,Sector,Market_Cap_Category,Sentiment_Score,Sentiment_Category,Confidence_Score,Primary_Market_Factor,News_Volume,Social_Media_Mentions,Analyst_Coverage,Price_Change_Percent,Volume_Change_Percent,Market_Volatility_Index,Sector_Performance
2025-06-03,Tuesday,June,Q2,PIDILITIND.NSE,Pidilite Industries Ltd,Chemicals,Large Cap,-0.034,Neutral,0.421,FII Flows,11,645,19,0.31,4.14,19.3,0.7
2025-06-03,Tuesday,June,Q2,POWERGRID.NSE,Power Grid Corporation of India Ltd,Power,Large Cap,0.543,Positive,0.726,GDP Data,31,1349,20,0.81,-0.41,19.3,0.95
2025-06-03,Tuesday,June,Q2,RELIANCE.NSE,Reliance Industries Ltd,Oil & Gas,Large Cap,-0.306,Negative,0.584,Oil Price Movement,29,863,24,-2.36,18.4,19.3,0.94
2025-06-03,Tuesday,June,Q2,SBIN.NSE,State Bank of India,Banking,Large Cap,0.048,Neutral,0.429,Rate Cut Expectations,26,735,24,1.56,-3.52,19.3,1.61
2025-06-03,Tuesday,June,Q2,SHREECEM.NSE,Shree Cement Ltd,Cement,Large Cap,0.42,Positive,0.652,Sector Rotation,31,446,23,1.86,-4.26,19.3,1.58
2025-06-03,Tuesday,June,Q2,SUNPHARMA.NSE,Sun Pharmaceutical Industries Ltd,Pharmaceuticals,Large Cap,-0.551,Negative,0.73,US FDA Approvals,21,1004,19,-2.71,22.47,19.3,1.38
2025-06-03,Tuesday,June,Q2,TATACONSUM.NSE,Tata Consumer Products Ltd,FMCG,Large Cap,-0.102,Neutral,0.461,Input Cost Inflation,17,957,16,-0.8,0.1,19.3,0.6
2025-06-03,Tuesday,June,Q2,TATAMOTORS.NSE,Tata Motors Ltd,Automobiles,Large Cap,0.642,Positive,0.785,Rural Demand,14,1095,18,1.39,6.51,19.3,-1.47
2025-06-03,Tuesday,June,Q2,TATASTEEL.NSE,Tata Steel Ltd,Metals,Large Cap,-0.638,Negative,0.783,Global Demand,18,786,23,-1.64,12.41,19.3,2.11
2025-06-03,Tuesday,June,Q2,TCS.NSE,Tata Consultancy Services Ltd,IT Services,Large Cap,0.162,Neutral,0.497,Currency Fluctuation,13,767,14,-0.46,-6.06,19.3,0.12
2025-06-03,Tuesday,June,Q2,TECHM.NSE,Tech Mahindra Ltd,IT Services,Large Cap,0.44,Positive,0.664,Currency Fluctuation,18,370,17,2.78,16.0,19.3,-0.83
2025-06-03,Tuesday,June,Q2,TITAN.NSE,Titan Company Ltd,Consumer Goods,Large Cap,-0.402,Negative,0.641,Currency Fluctuation,28,822,24,-2.18,-1.73,19.3,-0.2
2025-06-03,Tuesday,June,Q2,ULTRACEMCO.NSE,UltraTech Cement Ltd,Cement,Large Cap,0.069,Neutral,0.442,Monsoon Impact,25,992,17,-0.53,-11.29,19.3,0.34
2025-06-03,Tuesday,June,Q2,UPL.NSE,UPL Ltd,Chemicals,Large Cap,0.567,Positive,0.74,Corporate Announcements,17,1019,15,2.31,18.87,19.3,1.12
2025-06-03,Tuesday,June,Q2,WIPRO.NSE,Wipro Ltd,IT Services,Large Cap,-0.547,Negative,0.728,Oil Price Movement,21,1062,24,-0.55,3.05,19.3,0.59
2025-06-03,Tuesday,June,Q2,ACC.NSE,ACC Ltd,Cement,Large Cap,0.049,Neutral,0.429,Trade War Concerns,26,910,22,-1.14,1.67,19.3,0.67
2025-06-03,Tuesday,June,Q2,ABCAPITAL.NSE,Aditya Birla Capital Ltd,Financial Services,Large Cap,0.444,Positive,0.666,Trade War Concerns,19,548,16,1.0,19.68,19.3,1.92
2025-06-03,Tuesday,June,Q2,ABFRL.NSE,Aditya Birla Fashion and Retail Ltd,Textiles,Large Cap,-0.474,Negative,0.685,Trade War Concerns,22,949,21,-1.45,-2.6,19.3,0.4
2025-06-03,Tuesday,June,Q2,IRCTC.NSE,Indian Railway Catering and Tourism Corporation Ltd,Transportation,Large Cap,0.07,Neutral,0.442,Oil Price Movement,16,395,17,0.06,12.96,19.3,0.96
2025-06-03,Tuesday,June,Q2,MINDAIND.NSE,Minda Industries Ltd,Auto Components,Large Cap,0.61,Positive,0.766,FII Flows,32,1028,14,2.43,0.39,19.3,0.25
2025-06-03,Tuesday,June,Q2,NYKAA.NSE,Nykaa Ltd,E-commerce,Large Cap,-0.677,Negative,0.806,Corporate Announcements,14,1211,22,-1.26,17.97,19.3,0.39
2025-06-03,Tuesday,June,Q2,PAYTM.NSE,One 97 Communications Ltd,Fintech,Large Cap,0.155,Neutral,0.493,Rate Cut Expectations,21,487,25,0.68,10.71,19.3,-0.12
2025-06-03,Tuesday,June,Q2,POLICYBZR.NSE,PB Fintech Ltd,Financial Services,Large Cap,0.471,Positive,0.683,Monsoon Impact,24,685,16,3.81,4.53,19.3,1.42
2025-06-03,Tuesday,June,Q2,STAR.NSE,Strides Pharma Science Ltd,Pharmaceuticals,Large Cap,-0.383,Negative,0.63,Regulatory News,13,1012,24,-3.28,17.35,19.3,0.55
2025-06-03,Tuesday,June,Q2,ZOMATO.NSE,Zomato Ltd,Food Tech,Large Cap,0.105,Neutral,0.463,FII Flows,21,1049,19,-2.04,8.23,19.3,0.07
2025-06-03,Tuesday,June,Q2,ALKEM.NSE,Alkem Laboratories Ltd,Pharmaceuticals,Mid Cap,0.49,Positive,0.694,Trade War Concerns,8,574,11,2.26,14.16,19.3,-0.22
2025-06-03,Tuesday,June,Q2,AMBER.NSE,Amber Enterprises India Ltd,Consumer Goods,Mid Cap,-0.597,Negative,0.758,GDP Data,14,273,11,-2.24,14.06,19.3,-0.29
2025-06-03,Tuesday,June,Q2,AUBANK.NSE,AU Small Finance Bank Ltd,Banking,Mid Cap,0.127,Neutral,0.476,Rate Cut Expectations,13,494,11,0.27,-5.03,19.3,1.08
2025-06-03,Tuesday,June,Q2,AUROPHARMA.NSE,Aurobindo Pharma Ltd,Pharmaceuticals,Mid Cap,0.406,Positive,0.644,Generic Competition,9,302,7,1.91,10.43,19.3,0.82
2025-06-03,Tuesday,June,Q2,BANDHANBNK.NSE,Bandhan Bank Ltd,Banking,Mid Cap,-0.52,Negative,0.712,Oil Price Movement,7,588,12,-0.67,4.28,19.3,1.43
2025-06-03,Tuesday,June,Q2,BANKBARODA.NSE,Bank of Baroda,Banking,Mid Cap,0.145,Neutral,0.487,Currency Fluctuation,6,303,11,0.03,2.7,19.3,1.98
2025-06-03,Tuesday,June,Q2,BATAINDIA.NSE,Bata India Ltd,Consumer Goods,Mid Cap,0.633,Positive,0.78,Rate Cut Expectations,17,784,10,2.59,10.47,19.3,1.04
2025-06-03,Tuesday,June,Q2,BERGEPAINT.NSE,Berger Paints India Ltd,Chemicals,Mid Cap,-0.52,Negative,0.712,Technical Breakout,11,518,13,-3.35,4.16,19.3,0.91
2025-06-03,Tuesday,June,Q2,BIOCON.NSE,Biocon Ltd,Pharmaceuticals,Mid Cap,-0.14,Neutral,0.484,Regulatory News,6,332,10,-0.03,-7.95,19.3,0.52
2025-06-03,Tuesday,June,Q2,BOSCHLTD.NSE,Bosch Ltd,Auto Components,Mid Cap,0.481,Positive,0.689,Oil Price Movement,13,550,12,1.09,-1.02,19.3,-0.52
2025-06-03,Tuesday,June,Q2,CADILAHC.NSE,Cadila Healthcare Ltd,Pharmaceuticals,Mid Cap,-0.494,Negative,0.696,Oil Price Movement,10,568,9,-2.51,13.89,19.3,0.87
2025-06-03,Tuesday,June,Q2,CANFINHOME.NSE,Can Fin Homes Ltd,Financial Services,Mid Cap,-0.028,Neutral,0.417,Rate Cut Expectations,9,424,7,0.45,-0.1,19.3,1.49
2025-06-03,Tuesday,June,Q2,COFORGE.NSE,Coforge Ltd,IT Services,Mid Cap,0.602,Positive,0.761,Digital Transformation,11,278,11,1.07,18.92,19.3,-0.43
2025-06-03,Tuesday,June,Q2,COLPAL.NSE,Colgate-Palmolive India Ltd,FMCG,Mid Cap,-0.418,Negative,0.651,Volume Growth,11,293,9,-1.15,14.91,19.3,0.87
2025-06-03,Tuesday,June,Q2,CROMPTON.NSE,Crompton Greaves Consumer Electricals Ltd,Electricals,Mid Cap,0.185,Neutral,0.511,Corporate Announcements,13,465,6,1.35,12.43,19.3,0.45
2025-06-03,Tuesday,June,Q2,DABUR.NSE,Dabur India Ltd,FMCG,Mid Cap,0.367,Positive,0.62,Input Cost Inflation,7,459,12,4.93,9.76,19.3,-0.58
2025-06-03,Tuesday,June,Q2,DIXON.NSE,Dixon Technologies India Ltd,Electronics,Mid Cap,-0.577,Negative,0.746,Inflation Data,15,416,8,-2.85,28.31,19.3,0.2
2025-06-03,Tuesday,June,Q2,DLF.NSE,DLF Ltd,Real Estate,Mid Cap,-0.045,Neutral,0.427,Demand Recovery,6,531,10,0.64,7.3,19.3,-0.22
2025-06-03,Tuesday,June,Q2,FEDERALBNK.NSE,Federal Bank Ltd,Banking,Mid Cap,0.456,Positive,0.674,NPA Concerns,12,256,6,0.89,12.78,19.3,1.3
2025-06-03,Tuesday,June,Q2,GAIL.NSE,GAIL India Ltd,Oil & Gas,Mid Cap,-0.566,Negative,0.74,Refining Margins,12,379,14,-2.61,17.63,19.3,1.36
2025-06-03,Tuesday,June,Q2,GLENMARK.NSE,Glenmark Pharmaceuticals Ltd,Pharmaceuticals,Mid Cap,0.117,Neutral,0.47,Generic Competition,5,200,8,-1.18,-7.71,19.3,-0.11
2025-06-03,Tuesday,June,Q2,GODREJPROP.NSE,Godrej Properties Ltd,Real Estate,Mid Cap,0.406,Positive,0.643,Demand Recovery,16,424,9,-0.08,18.14,19.3,1.16
2025-06-03,Tuesday,June,Q2,HAVELLS.NSE,Havells India Ltd,Electricals,Mid Cap,-0.488,Negative,0.693,Trade War Concerns,14,403,10,-2.13,14.99,19.3,0.34
2025-06-03,Tuesday,June,Q2,IDFCFIRSTB.NSE,IDFC First Bank Ltd,Banking,Mid Cap,-0.101,Neutral,0.461,Credit Growth,14,507,10,-0.53,-5.82,19.3,0.51
2025-06-03,Tuesday,June,Q2,INOXLEISUR.NSE,INOX Leisure Ltd,Entertainment,Mid Cap,0.417,Positive,0.65,Regulatory News,15,457,6,1.95,7.93,19.3,-0.6
2025-06-03,Tuesday,June,Q2,JINDALSTEL.NSE,Jindal Steel & Power Ltd,Metals,Mid Cap,-0.463,Negative,0.678,Infrastructure Spending,15,235,13,-0.42,14.6,19.3,-1.42
2025-06-03,Tuesday,June,Q2,LTTS.NSE,L&T Technology Services Ltd,IT Services,Mid Cap,-0.21,Negative,0.526,Currency Fluctuation,7,301,15,-2.93,3.97,19.3,0.87
2025-06-03,Tuesday,June,Q2,LUPIN.NSE,Lupin Ltd,Pharmaceuticals,Mid Cap,0.666,Positive,0.8,Generic Competition,8,727,7,1.97,20.82,19.3,1.08
2025-06-03,Tuesday,June,Q2,MARICO.NSE,Marico Ltd,FMCG,Mid Cap,-0.507,Negative,0.704,Currency Fluctuation,8,337,7,-2.34,26.37,19.3,-0.45
2025-06-03,Tuesday,June,Q2,MCDOWELL-N.NSE,United Spirits Ltd,Beverages,Mid Cap,0.11,Neutral,0.466,Oil Price Movement,14,434,6,0.77,-3.65,19.3,0.01
2025-06-03,Tuesday,June,Q2,MINDTREE.NSE,Mindtree Ltd,IT Services,Mid Cap,0.608,Positive,0.765,Currency Fluctuation,14,367,11,2.53,4.93,19.3,0.36
2025-06-03,Tuesday,June,Q2,MOTHERSON.NSE,Motherson Sumi Systems Ltd,Auto Components,Mid Cap,-0.64,Negative,0.784,Earnings Growth,15,423,13,-0.74,5.39,19.3,0.55
2025-06-03,Tuesday,June,Q2,MPHASIS.NSE,Mphasis Ltd,IT Services,Mid Cap,-0.067,Neutral,0.44,Oil Price Movement,14,213,10,-0.35,10.85,19.3,0.38
2025-06-03,Tuesday,June,Q2,NMDC.NSE,NMDC Ltd,Mining,Mid Cap,0.422,Positive,0.653,Rate Cut Expectations,9,506,13,2.57,16.56,19.3,0.22
2025-06-03,Tuesday,June,Q2,PAGEIND.NSE,Page Industries Ltd,Textiles,Mid Cap,-0.299,Negative,0.579,Regulatory News,12,253,14,-4.21,18.8,19.3,0.31
2025-06-03,Tuesday,June,Q2,PERSISTENT.NSE,Persistent Systems Ltd,IT Services,Mid Cap,-0.217,Negative,0.53,Monsoon Impact,10,423,11,-1.17,8.46,19.3,-0.58
2025-06-03,Tuesday,June,Q2,PNB.NSE,Punjab National Bank,Banking,Mid Cap,0.415,Positive,0.649,Rate Cut Expectations,15,287,14,1.54,-3.5,19.3,1.4
2025-06-03,Tuesday,June,Q2,POLYCAB.NSE,Polycab India Ltd,Cables,Mid Cap,-0.368,Negative,0.621,Currency Fluctuation,8,506,13,-0.63,-2.5,19.3,0.12
2025-06-03,Tuesday,June,Q2,PVR.NSE,PVR Ltd,Entertainment,Mid Cap,0.113,Neutral,0.468,Rate Cut Expectations,13,168,10,-2.17,-4.14,19.3,-0.49
2025-06-03,Tuesday,June,Q2,RELAXO.NSE,Relaxo Footwears Ltd,Footwear,Mid Cap,0.333,Positive,0.6,Corporate Announcements,12,623,12,1.16,22.23,19.3,0.19
2025-06-03,Tuesday,June,Q2,SAIL.NSE,Steel Authority of India Ltd,Metals,Mid Cap,-0.296,Negative,0.578,Trade War Concerns,15,443,11,-2.14,-2.77,19.3,-0.89
2025-06-03,Tuesday,June,Q2,SIEMENS.NSE,Siemens Ltd,Industrials,Mid Cap,0.001,Neutral,0.401,Inflation Data,6,307,14,-0.3,-7.08,19.3,0.16
2025-06-03,Tuesday,June,Q2,SRF.NSE,SRF Ltd,Chemicals,Mid Cap,0.601,Positive,0.761,Global Cues,10,734,14,2.57,9.65,19.3,0.73
2025-06-03,Tuesday,June,Q2,TORNTPHARM.NSE,Torrent Pharmaceuticals Ltd,Pharmaceuticals,Mid Cap,-0.267,Negative,0.56,US FDA Approvals,7,411,13,-1.45,-4.06,19.3,0.68
2025-06-03,Tuesday,June,Q2,TRENT.NSE,Trent Ltd,Retail,Mid Cap,-0.073,Neutral,0.444,Oil Price Movement,5,332,6,0.09,4.03,19.3,-0.12
2025-06-03,Tuesday,June,Q2,VEDL.NSE,Vedanta Ltd,Metals,Mid Cap,0.356,Positive,0.614,Infrastructure Spending,11,271,14,0.65,11.18,19.3,-0.77
2025-06-03,Tuesday,June,Q2,VIPIND.NSE,VIP Industries Ltd,Consumer Goods,Mid Cap,-0.411,Negative,0.647,Corporate Announcements,8,306,15,-1.22,0.61,19.3,0.98
2025-06-03,Tuesday,June,Q2,VOLTAS.NSE,Voltas Ltd,Consumer Goods,Mid Cap,0.134,Neutral,0.481,Trade War Concerns,13,372,11,-1.21,9.45,19.3,-0.32
2025-06-03,Tuesday,June,Q2,WHIRLPOOL.NSE,Whirlpool of India Ltd,Consumer Goods,Mid Cap,0.301,Positive,0.581,GDP Data,11,644,13,1.47,16.6,19.3,-0.06
2025-06-03,Tuesday,June,Q2,ASTRAL.NSE,Astral Ltd,Building Materials,Mid Cap,-0.603,Negative,0.762,Market Rally,14,225,6,-2.29,28.9,19.3,0.68
2025-06-03,Tuesday,June,Q2,BALKRISIND.NSE,Balkrishna Industries Ltd,Tyres,Mid Cap,0.148,Neutral,0.489,FII Flows,13,317,14,-1.73,11.89,19.3,0.01
2025-06-03,Tuesday,June,Q2,CUMMINSIND.NSE,Cummins India Ltd,Auto Components,Mid Cap,0.493,Positive,0.696,GDP Data,12,285,13,3.4,9.17,19.3,-1.44
2025-06-03,Tuesday,June,Q2,EXIDEIND.NSE,Exide Industries Ltd,Batteries,Mid Cap,-0.718,Negative,0.831,Corporate Announcements,13,863,15,-1.51,18.92,19.3,0.53
2025-06-03,Tuesday,June,Q2,HONAUT.NSE,Honeywell Automation India Ltd,Industrials,Mid Cap,0.057,Neutral,0.434,GDP Data,12,542,12,-1.05,6.12,19.3,1.1
2025-06-03,Tuesday,June,Q2,IPCALAB.NSE,IPCA Laboratories Ltd,Pharmaceuticals,Mid Cap,0.393,Positive,0.636,Regulatory News,6,547,8,1.11,21.32,19.3,0.68
2025-06-03,Tuesday,June,Q2,LICHSGFIN.NSE,LIC Housing Finance Ltd,Financial Services,Mid Cap,-0.561,Negative,0.736,Corporate Announcements,13,741,12,0.64,18.13,19.3,1.53
2025-06-03,Tuesday,June,Q2,MAXHEALTH.NSE,Max Healthcare Institute Ltd,Healthcare,Mid Cap,0.015,Neutral,0.409,GDP Data,7,512,7,0.58,-0.15,19.3,0.87
2025-06-04,Wednesday,June,Q2,ADANIENT.NSE,Adani Enterprises Ltd,Conglomerates,Large Cap,0.486,Positive,0.692,Sector Rotation,13,802,13,1.46,15.73,20.43,-0.11
2025-06-04,Wednesday,June,Q2,ADANIPORTS.NSE,Adani Ports & SEZ Ltd,Transportation,Large Cap,-0.523,Negative,0.714,FII Flows,15,528,12,0.27,1.84,20.43,-0.14
2025-06-04,Wednesday,June,Q2,APOLLOHOSP.NSE,Apollo Hospitals Enterprise Ltd,Healthcare,Large Cap,-0.119,Neutral,0.471,Technical Breakout,28,585,22,-0.98,17.66,20.43,1.01
2025-06-04,Wednesday,June,Q2,ASIANPAINT.NSE,Asian Paints Ltd,Chemicals,Large Cap,0.587,Positive,0.752,Corporate Announcements,34,1306,19,1.06,11.15,20.43,-0.12
2025-06-04,Wednesday,June,Q2,AXISBANK.NSE,Axis Bank Ltd,Banking,Large Cap,-0.281,Negative,0.569,Trade War Concerns,14,452,25,-1.03,3.77,20.43,1.64
2025-06-04,Wednesday,June,Q2,BAJAJ-AUTO.NSE,Bajaj Auto Ltd,Automobiles,Large Cap,-0.003,Neutral,0.402,Technical Breakout,17,699,12,2.75,-4.1,20.43,-0.84
2025-06-04,Wednesday,June,Q2,BAJFINANCE.NSE,Bajaj Finance Ltd,Financial Services,Large Cap,0.565,Positive,0.739,Global Cues,23,536,21,3.2,19.36,20.43,0.69
2025-06-04,Wednesday,June,Q2,BHARTIARTL.NSE,Bharti Airtel Ltd,Telecommunications,Large Cap,-0.434,Negative,0.661,Sector Rotation,19,383,14,-0.04,17.11,20.43,0.88
2025-06-04,Wednesday,June,Q2,BPCL.NSE,Bharat Petroleum Corporation Ltd,Oil & Gas,Large Cap,-0.026,Neutral,0.416,Regulatory News,17,844,25,-1.26,2.42,20.43,2.34
2025-06-04,Wednesday,June,Q2,BRITANNIA.NSE,Britannia Industries Ltd,FMCG,Large Cap,0.494,Positive,0.696,Input Cost Inflation,28,1318,13,0.11,6.93,20.43,0.23
2025-06-04,Wednesday,June,Q2,CIPLA.NSE,Cipla Ltd,Pharmaceuticals,Large Cap,-0.429,Negative,0.657,Regulatory News,19,691,19,-1.84,1.57,20.43,0.87
2025-06-04,Wednesday,June,Q2,COALINDIA.NSE,Coal India Ltd,Mining,Large Cap,-0.172,Neutral,0.503,Technical Breakout,21,1084,15,-1.08,6.24,20.43,1.3
2025-06-04,Wednesday,June,Q2,DIVISLAB.NSE,Divi's Laboratories Ltd,Pharmaceuticals,Large Cap,0.412,Positive,0.647,Regulatory News,17,1168,13,-0.23,21.78,20.43,-0.07
2025-06-04,Wednesday,June,Q2,DMART.NSE,Avenue Supermarts Ltd,Retail,Large Cap,-0.45,Negative,0.67,Market Rally,23,857,13,-0.48,17.55,20.43,-0.49
2025-06-04,Wednesday,June,Q2,DRREDDY.NSE,Dr. Reddy's Laboratories Ltd,Pharmaceuticals,Large Cap,-0.12,Neutral,0.472,Generic Competition,13,800,24,-0.67,-0.27,20.43,0.18
2025-06-04,Wednesday,June,Q2,EICHERMOT.NSE,Eicher Motors Ltd,Automobiles,Large Cap,0.477,Positive,0.686,Monsoon Impact,28,379,18,4.09,24.44,20.43,0.64
2025-06-04,Wednesday,June,Q2,GODREJCP.NSE,Godrej Consumer Products Ltd,FMCG,Large Cap,-0.334,Negative,0.6,Volume Growth,30,1026,17,-1.29,3.72,20.43,-0.2
2025-06-04,Wednesday,June,Q2,GRASIM.NSE,Grasim Industries Ltd,Textiles,Large Cap,0.098,Neutral,0.459,Earnings Growth,14,674,23,0.07,10.41,20.43,0.16
2025-06-04,Wednesday,June,Q2,HCLTECH.NSE,HCL Technologies Ltd,IT Services,Large Cap,0.279,Positive,0.567,Digital Transformation,20,1180,25,1.91,16.78,20.43,0.45
2025-06-04,Wednesday,June,Q2,HDFCBANK.NSE,HDFC Bank Ltd,Banking,Large Cap,-0.597,Negative,0.758,Inflation Data,21,696,15,-2.24,19.29,20.43,1.73
2025-06-04,Wednesday,June,Q2,HEROMOTOCO.NSE,Hero MotoCorp Ltd,Automobiles,Large Cap,0.004,Neutral,0.403,Rural Demand,22,664,18,0.08,6.14,20.43,0.08
